İLAN ADI;MAHALLE;FİYAT;NET(m²);BRÜT(m²);ODA-SALON SAYISI;ODA SAYISI;SALON SAYISI;BANYO SAYISI;FOTOĞRAF SAYISI
KW Cadde'denMinibüs Caddesine Yürüme Mesafesi Ara Kat Emsalsiz;Kozyatağı;3.200.000;80;100;2+1;2;1;2;30
ERENKÖY DE 2 YILLIK BİNADA 4.KATTA GÜNEY BATI CEPHE KOMBİLİ 3+1;Erenköy;3.600.000;108;125;3+1;3;1;1;16
Caddebostan sahilde 4 yaşında iskanlı 3+1 Kombili Balkonlu;Caddebostan;5.300.000;98;125;3+1;3;1;2;32
Moda Dr. Esat Işık Cad. Üzerinde Havuzlu Otoparklı 4+1;Caferağa;4.350.000;140;170;4+1;4;1;2;23
FENERYOLU ÖZGÜRLÜK PARKINA YAKIN 160M2 BALKONLU ULTRA LÜKS;Feneryolu;3.595.000;125;160;3+1;3;1;2;23
SUADİYEDE GİRİŞ KATI 2+1 MARMARAY YÜRÜME MESAFESİNDE SATILIK;Suadiye;1.635.000;75;95;2+1;2;1;1;22
MODA SAHİL DE MUHTEŞEM DENİZ MANZARALI AYRICALIKLI ÖZEL TERASLI.;Caferağa;11.000.000;133;177;3+1;3;1;1;26
Dinamik'ten Suadiye'de Kaptan Arif Caddesine'de 3+1 Balkonlu;Suadiye;3.595.000;110;140;3+1;3;1;1;31
Yenitepe Kadıköy de Balkonlu Yüksek kat Satılık Boş 3+1 Daire;Dumlupınar;5.550.000;130;200;3+1;3;1;3;30
Moda'nın kalbinde oturmak ister misiniz?;Caferağa;3.750.000;100;130;3+1;3;1;1;30
KOZYATAĞI METRO İSTASYONUNA VE KOZZY AVM YE YAKIN KONUMDADI;Kozyatağı;2.350.000;110;140;3+1;3;1;1;13
Fenerbahçe'de Orduevi yakını;Fenerbahçe;9.850.000;216;260;4+2;4;2;4;23
BAĞDATA SADECE 100MT MESAFEDE;Feneryolu;4.995.000;150;210;4+1;4;1;3;28
SUADİYE'DE DİNAMİKTEN MERKEZİ KONUMDA BALKONLU 3+1 SATILIK DAİRE;Suadiye;2.350.000;100;125;3+1;3;1;1;28
SAKİNLERDE ŞAHANE 3+1 125m² DOĞA MANZARALI ARAKAT DAİRE;Acıbadem;3.350.000;120;125;3+1;3;1;2;26
ERENKÖY BAĞDAT CADDESİ YAKIN 4+1 190M2 24 SAAT GÜVENLİKLİ DAİRE;Erenköy;16.100.000;165;225;4+1;4;1;2;29
F.YOLU BAĞDATA YAKIN 225M2 BALKONLU ULTRA LÜKS DAİRE;Feneryolu;4.995.000;185;225;4+1;4;1;2;18
GÖZTEPE MERKEZDE İÇİ YAPILI BALKONLU EBEVEYN BANYOLU SATILIK 3+1;Göztepe;3.100.000;125;165;3+1;3;1;2;26
KOZYATAĞINDA KOZZY AVM'YE KOMŞU 12.KATTA 3+1 110 M2;Kozyatağı;4.000.000;87;110;3+1;3;1;1;27
AKAY DAN İKBALİYE METROYA 2DK İYİ LOKASYON 2+1 100m² ZEMİN KAT;Acıbadem;825.000;90;100;2+1;2;1;1;4
BOSTANCI SAHİLİNDE KESİNTİSİZ LEBİDERYA MANZARALI 330 M2 DAİRE;Bostancı;13.750.000;281;330;6+1;6;1;2;
MODA CADDE DE SATILIK DAİRE TİCARİ OFİSEDE UYGUN;Caferağa;1.400.000;80;95;2+1;2;1;1;15
CADDEBOSTAN BAĞDAT CADDESİNE 150 METRE MESAFEDE 145 M2 DAİRE;Caddebostan;5.500.000;117;145;3+1;3;1;2;
ACIBADEM CAD.ÜZERİ DENİZ MANZARALI 2+1 100m²AKILLI BİNA ARAKAT;Acıbadem;3.375.000;90;100;2+1;2;1;2;
FENERBAHÇE'DE 12.KAT DENİZ MANZARALI BALKONLU 230m2 SATILIK 4+1;Fenerbahçe;7.800.000;185;230;4+1;4;1;2;21
ERENKÖY DİVAN arkası Nezih Apt 155m2 Ferah Daire YATIRIM DEĞERLİ;Caddebostan;6.900.000;130;155;3+1;3;1;2;20
