İLAN ADI,MAHALLE,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI
CENTURY 21.SAHRA'DAN C.BOSTAN PLAJYOLU'NDA 4+1 DUBLEKS 240M2 NET,5,6500000,240,280,4+1,4,1,3,29
TEK YETKİLİYİZ. CENTURY 21 SAHRA'DAN 128m2 NET KULLANIMLI,15,2785000,128,146,3+1,3,1,1,24
CENTURY 21.SAHRA'DAN C.BOSTAN SAHİLDE SIFIR BİNADA 3+1 KATTA TEK,5,7595000,110,145,3+1,3,1,2,23
CENTURY21.SAHRA'DAN F.BAHÇE'DE DENİZ MAN.4+1 155M2 NET KATTA TEK,10,12950000,155,190,4+1,4,1,2,20
CENTURY 21.SAHRA'DAN BAĞDAT CAD. YAKIN 4+1 İÇİ FULL YAPILI 145M2,8,4495000,145,185,4+1,4,1,3,19
CENTURY 21.SAHRA'DAN SAHİLE ÇOK YAKIN KISMİ DENİZ MAN. 3+1,10,7950000,120,155,3+1,3,1,2,19
CENTURY21.SAHRA'DAN BAĞDAT'A YAKIN İÇİ FULL YAPILI 3+1 128M2 NET,20,4275000,128,145,3+1,3,1,2,19
SELAMİÇEŞME ÖZGÜRLÜKTE DEPREM SONRASI 165M2 KOMBİLİ ULTRA LÜKS,11,4690000,135,1165,3+1,3,1,2,31
Feneryolu 26 Mart Parkına Yakın Konumda Satılık 2+1 Daire,11,2690000,75,90,2+1,2,1,1,19
CENTURY 21.SAHRA'DAN F.BAHÇE SAHİLE ÇOK YAKIN YENİ BİNA 3+1,10,3950000,90,120,3+1,3,1,2,18
SUADİYE'DE DİNAMİK'TEN BAĞDATA YAKIN 4+2 MANZARALI 210M2 DUBLEKS,20,6050000,185,210,4+2,4,2,3,31
CENTURY 21.SAHRA'DAN Ç.HAVUZLAR'DA 4YILLIK TERAS KEYFİ MANZARALI,13,4000000,115,150,2+1,2,1,1,17
SUADİYE SAHİLDE OTELE KOMŞU VE DENİZ MANZ. YENİ BİNA,20,17000000,255,330,5+1,5,1,3,27
Kadıköy Fenerbahçe'de Satılık,10,1850000,38,48,1+1,1,1,1,21
GÖZTEPE DE MÜKEMMEL LOKASYONDA,13,3950000,95,115,3+1,3,1,2,25
SUADİYE BAĞDATA YAKIN 7 YILLIK YENİ 115M2 BALKONLU LÜKS,20,3595000,85,115,2+1,2,1,1,23
SUADİYE'DE 2 YILLIK 235M2 DENİZ MANZARALI TERASLI LÜKS DUBLEKS,20,6950000,185,235,4+2,4,2,3,27
MTS PRIME EMLAK-YETKİLİ,10,9750000,180,220,4+1,4,1,4,26
Çiftehavuzlar Güvenlikli Tenis Kortlu Satılık 3+1 Daire,13,2990000,100,130,2+1,2,1,1,20
ERENKÖY'DE MARMARAYA YAKIN 130M2 BALKONLU ULTRA LÜKS,8,2900000,95,130,3+1,3,1,2,20
CENTURY 21.SAHRA'DAN 4 YILLIK İÇİ FULL YAPILI 2+1 Y.GİRİŞ,10,2995000,75,90,2+1,2,1,2,15
FİKİRTEPE KENTPLUS,9,1245000,45,72,1+1,1,1,1,9
CENTURY 21.SAHRA'DAN BAĞDAT'A YAKIN İÇİ FULL YAPILI 3+1,20,3985000,110,140,3+1,3,1,2,13
Dinamik'ten Merdivenköy'de Minibüse 2.Bina Park Manzaralı 3+1,16,3100000,120,150,3+1,3,1,2,19
Fenerbahçe Bağdat Caddesi Komple Yenilenmiş Balkonlu 4+1,10,5950000,145,185,4+1,4,1,2,26
Selamiçeşeme Özgürlük Parkına Yakın Masrafsız,11,4690000,135,165,3+1,3,1,2,26
Fenerbahçe Kahve Dünyası Yakın Balkonlu 4+1 Satılık Daire,10,8800000,152,200,4+1,4,1,2,21
KALAMIŞTA SATILIK EŞSİZ YALI DAİRESİ,10,15900000,180,200,4+1,4,1,1,32
CITY'DEN .. CADDEBOSTAN SAHİLDE LEBİDERYA 220M2 3+2 DUBLEX ..,5,9750000,160,220,3+2,3,2,3,7
Dinamik'ten Merdivenköy'de Minibüs Yoluna 2.Bina Ön Cephe Park M,16,3350000,90,125,3+1,3,1,2,15
TÜLAY ÖZKÖK'TEN KALAMIŞTA YENİLENMİŞ HUZURLU SATILIK DAİRE,21,1700000,62,77,2+1,2,1,1,14
FENERBAHÇE MERKEZDE,10,10500000,140,196,4+1,4,1,2,19
BAĞDATIN SADECE 3 SOK ÜSTÜ ERENKÖYDE,8,4950000,105,147,3+1,3,1,2,19
FENERYOLU MAHALLESİ'NDE FERAH VE KULLANIŞLI HARİKA MANZARALI,11,9400000,147,184,4+2,4,2,3,31
FENERYOLU MAHALLESİ'NDE PANAROMİK DENİZ MANZARALI DUBLEKS,11,9500000,147,184,4+2,4,2,3,31
FENERYOLUNDA BAĞDATA 7.BİNA,11,4150000,87,120,3+1,3,1,2,28
ERENKÖY ETHEMEFENDİ CAD. YAKIN 110M2 BALKONLU KOMBİLİ LÜKS,8,2485000,85,110,2+1,2,1,1,18
CADDEBOSTANDA 147M2,8,4500000,105,147,3+1,3,1,2,17
ERENKÖY'DE DİNAMİK'TEN ÇİFT TERASLI DUBLEKS 4+1 190 m2 SATILIK,8,4300000,160,190,4+1,4,1,3,20
CADDEBOSTAN'DA,5,11850000,224,315,3+2,3,2,4,16
SUADİYE BAĞDAT'A YAKIN 13.KAT EBEVEYNLİ BALKONLU '0' SATILIK 3+1,20,4650000,87,110,3+1,3,1,2,31
CADDEBOSTAN'DA DİNAMİK'TEN KATTA TEK 4+1 185m2 BALKONLU,13,4895000,145,180,4+1,4,1,2,20
FENERBAHÇEDE 3 YILLIK,10,5780000,134,180,5+1,5,1,2,27
Bağdat yakını 5+2 çift teras ve balkon dubleks tapu masrafı yok,13,7800000,250,280,5+2,5,2,4,30
Bağdat Caddesine Paralel Güvenlikli ve Bahçeli 3+1 Daire,4,4350000,99,149,3+1,3,1,2,36
CİTY'DEN FENERYOLU'NDA BAĞDAT'A 2. PARALEL İSKANLI SIFIR 4+2,11,4750000,195,240,4+2,4,2,3,22
GÖZTEPE MERDİVENKÖY DE MERKEZİ BAKIMLI KULLANIŞLI SATILIK,16,1800000,105,130,3+1,3,1,1,21
CITY'DEN.. KIZILTOPRAK'TA KISMİ DENİZ MANZARALI 240M2 4+1 5.950,11,5950000,180,240,4+1,4,1,1,22
DİNAMİK'TEN PLAJYOLUNDA YEŞİLLİKLERE BAKAN GENÇ BİNA DUBLEKS,5,6500000,240,280,4+1,4,1,3,26
Dinamik'ten Feneryolu Özgürlük Parkında Geniş 3+1 2005 Yapımı,11,4690000,135,165,3+1,3,1,3,27
Fenerbahçe Ordu Evine Parka Sahile Yakın 3+1 Satılık,10,5950000,110,140,3+1,3,1,2,12
Selamiçeşme Bağdat Caddesi 3. Bina Parka Yakın Masrafsız,11,6450000,208,220,4+1,4,1,2,28
FENERYOLU ÖZGÜRLÜK VE DENİZ MANZ. SON DUBLEKSLER 93M2 2+1,13,4200000,67,93,2+1,2,1,1,11
KOZYATAĞI ,2,4250000,270,300,5+1,5,1,3,23
GÖZTEPEDE YEŞİLLİKLER İÇİNDE SATILIK DAİRE,13,3990000,90,105,3+1,3,1,1,24
Kadıköy Kozyatağı ÇEBİ Sitesinde Satılık Arıyoruz,15,2300000,135,160,3+1,3,1,2,24
Dinamik'ten Erenköy Etem Efendide Geniş Balkonlu 3+1,8,3350000,135,165,3+1,3,1,2,14
CenkCaddede Kozyatağı Atılım Sitesi Satılık Yatırımlık 3+1 150m²,4,2250000,118,150,3+1,3,1,1,24
ÇİFTEHAVUZLAR BAĞDAT CADDESİ GENİŞ ARSA PAYLI 3.KAT SATILIK 4+1,13,6500000,180,200,4+1,4,1,1,31
Fenerbahçe Dalyan Deniz Manzaralı 5+1 Katta Tek Dubleks Daire,10,15950000,332,437,5+1,5,1,4,33
CADDEBOSTAN'DA 4,5,7000000,147,180,4+1,4,1,2,26
CADDEBOSTAN GENÇ BİNADA 495M2 DENİZ MANZARALI ÇİFT DAİRE,5,14850000,420,495,8+2,8,2,4,29
C.BOSTAN SAHİLDE DEPREM SONRASI 280M2 TERASLI DUBLEKS,5,6500000,240,280,4+1,4,1,3,29
DİNAMİK'TEN CADDEBOSTAN İSKANLI 3+1 220M2 TERASLI DUBLEX,5,5300000,160,220,3+1,3,1,2,21
CENTURY 21.SAHRA'DAN DENİZ MAN.4+2 380 M2 GÜVENLİKLİ HAVUZLU,20,12850000,300,380,4+2,4,2,3,36
BOSTANCI METRO İST VE MİNİBÜS CAD ARASI GENİŞ M2 3+1 DAİRE,15,2450000,140,170,3+1,3,1,1,11
C.BOSTAN SAHİLDE SIFIR 390M2 DENİZ MANZARALI İSKANLI DUBLEKS,5,17750000,292,390,5+2,5,2,4,18
Century21 Sahra dan Modanın Kalbinde Cadde Üstü Yatırımlık Daire,6,2050000,80,98,2+1,2,1,1,19
Dinamik'ten Şaşkınbakkal Sahil'de 3+1 121m2 Net Balkonlu Daire,20,6450000,122,150,3+1,3,1,2,14
FENERYOLU MAHALLESİ'NDE PANAROMİK DENİZ MANZARALI DUBLEKS,11,9500000,147,184,4+2,4,2,3,31
FENERYOLU MAHALLESİ'NDE FERAH VE KULLANIŞLI HARİKA MANZARALI,11,9400000,147,184,4+2,4,2,3,31
GÖZTEPE ÖNÜ KAPANMAZ BALKONLU YENİLENMİŞ 182M2 3+1,16,2200000,130,182,3+1,3,1,2,9
Çiftehavuzlar'da Bağdat Caddesi 3. Bina Teraslı Satılık Daire,13,4250000,133,175,3+1,3,1,2,8
CİTYDEN..FENERYOLU ÖZGÜRLÜK PARKINA YAKIN 140M2 3+1 YENİ,11,4000000,100,140,3+1,3,1,2,7
Kadıköy Bostancı'da Satılık Daire,4,4100000,200,260,4+2,4,2,3,16
CITY'DEN ŞAKINBAKKAL SAHİLDE  BAHÇE KULLANIMLI 278M2 4+1 DAİRE..,20,12375000,200,278,4+1,4,1,2,3
FİKİRTEPEDE OTURUMA HAZIR,12,2250000,80,115,2+1,2,1,2,22
SUADİYE DE MERKEZİ LOKASYON 3+1 TRİPLEKS DAİRE,20,2750000,105,125,3+1,3,1,2,26
Erenköy Marmaraya 500m. E.Banyolu,8,3975000,95,125,3+1,3,1,2,24
FİKİRTEPEDE BİLİNDİK BİR RESİDENCE.. 105M2,12,2600000,73,105,2+1,2,1,2,15
DİNAMİKTEN ERENKÖYDE 3+1 DAİRE,8,3100000,130,165,3+1,3,1,2,18
FİKİRTEPEDE HIZIR BEY CAD'SİNE 1 SOK MESAFEDE,12,1900000,105,147,3+1,3,1,2,8
Dinamik'ten Fenerbahçe Bağdat Caddesi Üzerinde 180m2 4+1,10,5250000,150,180,4+1,4,1,2,23
